Day,Revenue
1972-06-15,6.966321242
1972-06-16,6.31170634
1972-06-17,5.943952602
1972-06-18,5.841843614
1972-06-19,6.681780332
1972-06-20,5.664625151
1972-06-21,5.481281548
1972-06-22,5.671976498
1972-06-23,5.188018593
1972-06-24,5.609863758
1972-06-25,4.907574806
1972-06-26,5.437139336
1972-06-27,5.298284266
1972-06-28,5.412603871
1972-06-29,5.674703941
1972-06-30,6.233395622
1972-07-01,5.964008868
1972-07-02,6.223849962
1972-07-03,6.179556586
1972-07-04,5.921670524
1972-07-05,6.277405791
1972-07-06,5.871568903
1972-07-07,5.816199182
1972-07-08,6.43853443
1972-07-09,5.90074056
1972-07-10,6.213554554
1972-07-11,5.561818866
1972-07-12,6.015062568
1972-07-13,6.245567733
1972-07-14,5.617964732
1972-07-15,6.047722333
1972-07-16,5.328600654
1972-07-17,5.984050593
1972-07-18,5.718670217
1972-07-19,6.168549778
1972-07-20,6.419179952
1972-07-21,6.770455873
1972-07-22,6.460004712
1972-07-23,5.973167431
1972-07-24,5.589806569
1972-07-25,5.966559897
1972-07-26,6.50841071
1972-07-27,5.914158993
1972-07-28,6.137185499
1972-07-29,6.701932741
1972-07-30,6.481133865
1972-07-31,6.502357716
1972-08-01,7.223705866
1972-08-02,6.832373048
1972-08-03,6.946346894
1972-08-04,6.239278536
1972-08-05,7.064640345
1972-08-06,6.695172714
1972-08-07,5.680079038
1972-08-08,6.412772263
1972-08-09,5.811691619
1972-08-10,6.18833241
1972-08-11,5.280124523
1972-08-12,6.278287558
1972-08-13,6.708512399
1972-08-14,6.524116876
1972-08-15,6.378960244
1972-08-16,6.434691767
1972-08-17,6.47520127
1972-08-18,7.384317349
1972-08-19,7.651861894
1972-08-20,8.701207113
1972-08-21,7.591809144
1972-08-22,8.133817813
1972-08-23,7.353039585
1972-08-24,7.544987314
1972-08-25,7.065749819
1972-08-26,7.550080449
1972-08-27,7.568530826
1972-08-28,6.781578804
1972-08-29,6.518598196
1972-08-30,6.365795463
1972-08-31,6.779827762
1972-09-01,6.517114237
1972-09-02,6.705527436
1972-09-03,7.092380299
1972-09-04,7.058309661
1972-09-05,6.544608743
1972-09-06,7.42956329
1972-09-07,7.721857658
1972-09-08,6.502133156
1972-09-09,7.391609269
1972-09-10,6.989221405
1972-09-11,7.45339929
1972-09-12,7.591757865
1972-09-13,7.766084958
1972-09-14,8.361602643
1972-09-15,8.037333381
1972-09-16,8.959983524
1972-09-17,9.15113802
1972-09-18,8.905577837
1972-09-19,9.415349311
1972-09-20,9.724684431
1972-09-21,10.09011507
1972-09-22,10.25465961
1972-09-23,9.549328447
1972-09-24,10.08531775
1972-09-25,10.86821621
1972-09-26,10.43282617
1972-09-27,11.15156592
1972-09-28,10.64484963
1972-09-29,10.96487737
1972-09-30,11.68964623
1972-10-01,10.89802648
1972-10-02,11.15595137
1972-10-03,11.12450766
1972-10-04,11.45453995
1972-10-05,10.88066325
1972-10-06,11.39306098
1972-10-07,11.55030041
1972-10-08,11.35877212
1972-10-09,11.40012934
1972-10-10,10.80415319
1972-10-11,10.95113957
1972-10-12,10.00965452
1972-10-13,10.63852616
1972-10-14,10.11305364
1972-10-15,10.0095536
1972-10-16,10.2115207
1972-10-17,10.17354697
1972-10-18,9.849481019
1972-10-19,10.24676663
1972-10-20,9.835264689
1972-10-21,10.49314322
1972-10-22,9.603350087
1972-10-23,9.24876006
1972-10-24,9.401037919
1972-10-25,9.939871378
1972-10-26,10.13535112
1972-10-27,9.647129671
1972-10-28,10.78557055
1972-10-29,9.760365268
1972-10-30,10.3869437
1972-10-31,10.4788635
1972-11-01,10.57752336
1972-11-02,10.47291662
1972-11-03,10.40893697
1972-11-04,9.654938495
1972-11-05,9.834805834
1972-11-06,9.425696511
1972-11-07,9.55456512
1972-11-08,10.10855667
1972-11-09,9.526518729
1972-11-10,10.03160103
1972-11-11,9.68084097
1972-11-12,9.70637883
1972-11-13,8.587347032
1972-11-14,9.048395345
1972-11-15,8.263694395
1972-11-16,9.0399819
1972-11-17,9.163766036
1972-11-18,9.518616967
1972-11-19,8.592423729
1972-11-20,8.600153773
1972-11-21,8.899976886
1972-11-22,9.491880902
1972-11-23,9.119437222
1972-11-24,10.17182049
1972-11-25,10.15898941
1972-11-26,10.88522035
1972-11-27,10.05228172
1972-11-28,10.22987502
1972-11-29,9.841212706
1972-11-30,10.49074993
1972-12-01,10.19191851
1972-12-02,10.01436423
1972-12-03,9.99085923
1972-12-04,10.02681131
1972-12-05,9.525744753
1972-12-06,9.765642634
1972-12-07,9.555497572
1972-12-08,9.11228015
1972-12-09,8.759691125
1972-12-10,9.249328093
1972-12-11,8.77552317
1972-12-12,9.854105527
1972-12-13,10.25335772
1972-12-14,9.9843748
1972-12-15,11.06398076
1972-12-16,10.71010619
1972-12-17,11.25761409
1972-12-18,10.60928267
1972-12-19,11.32932884
1972-12-20,11.16053242
1972-12-21,11.33996004
1972-12-22,11.54239828
1972-12-23,11.79270684
1972-12-24,11.70526835
1972-12-25,11.89753587
1972-12-26,11.78967252
1972-12-27,11.61994787
1972-12-28,11.96826033
1972-12-29,12.28792621
1972-12-30,12.43813368
1972-12-31,11.99189083
1973-01-01,11.85068671
1973-01-02,12.26622586
1973-01-03,11.15803183
1973-01-04,12.11997933
1973-01-05,11.76873233
1973-01-06,11.12803578
1973-01-07,10.86603266
1973-01-08,10.23757712
1973-01-09,10.14320748
1973-01-10,10.46689075
1973-01-11,10.69625935
1973-01-12,10.45534182
1973-01-13,10.83652579
1973-01-14,10.71043553
1973-01-15,11.51680064
1973-01-16,11.29962526
1973-01-17,12.04357266
1973-01-18,12.37934218
1973-01-19,12.06734366
1973-01-20,11.21216257
1973-01-21,10.75617064
1973-01-22,10.85446209
1973-01-23,10.62193078
1973-01-24,10.39052456
1973-01-25,11.32402028
1973-01-26,11.23435857
1973-01-27,10.63505592
1973-01-28,11.86507245
1973-01-29,11.64172029
1973-01-30,12.27268843
1973-01-31,12.12051353
1973-02-01,12.51634578
1973-02-02,11.95056055
1973-02-03,12.22118708
1973-02-04,12.27182008
1973-02-05,12.28144634
1973-02-06,12.05270478
1973-02-07,12.42338133
1973-02-08,11.85932698
1973-02-09,11.73912658
1973-02-10,11.92291
1973-02-11,12.157616
1973-02-12,11.79346872
1973-02-13,11.9430778
1973-02-14,11.36953639
1973-02-15,11.64293102
1973-02-16,10.89965094
1973-02-17,11.51358095
1973-02-18,10.95912682
1973-02-19,10.31231737
1973-02-20,10.77773788
1973-02-21,11.03581856
1973-02-22,11.04543669
1973-02-23,11.63735871
1973-02-24,11.84817774
1973-02-25,11.30317125
1973-02-26,10.85196452
1973-02-27,11.58185214
1973-02-28,10.9251649
1973-03-01,11.58242318
1973-03-02,11.714175
1973-03-03,11.85870991
1973-03-04,12.4743538
1973-03-05,13.28181359
1973-03-06,12.38885091
1973-03-07,12.69666202
1973-03-08,12.75891555
1973-03-09,12.79436534
1973-03-10,13.03626492
1973-03-11,12.61389051
1973-03-12,13.20618288
1973-03-13,11.33646421
1973-03-14,12.33494046
1973-03-15,12.2952658
1973-03-16,12.27980845
1973-03-17,12.42600982
1973-03-18,12.25776278
1973-03-19,11.87191996
1973-03-20,12.67618483
1973-03-21,12.1142837
1973-03-22,11.96338146
1973-03-23,12.44743229
1973-03-24,12.72511952
1973-03-25,12.5116333
1973-03-26,12.17234837
1973-03-27,11.97771742
1973-03-28,12.23245368
1973-03-29,12.37410985
1973-03-30,12.98195912
1973-03-31,12.49576931
1973-04-01,13.41855217
1973-04-02,12.310697
1973-04-03,11.70179391
1973-04-04,12.4746098
1973-04-05,12.30447328
1973-04-06,11.91232484
1973-04-07,12.06182155
1973-04-08,11.82917264
1973-04-09,11.82716412
1973-04-10,12.1895535
1973-04-11,11.78537286
1973-04-12,11.63884845
1973-04-13,11.63896413
1973-04-14,11.88642246
1973-04-15,11.85488462
1973-04-16,11.84609015
1973-04-17,11.74862167
1973-04-18,11.87811409
1973-04-19,12.20198435
1973-04-20,11.45912015
1973-04-21,12.34953765
1973-04-22,11.87079189
1973-04-23,12.42081087
1973-04-24,12.85218592
1973-04-25,12.79460121
1973-04-26,13.62608898
1973-04-27,13.22768706
1973-04-28,13.67048893
1973-04-29,13.02040072
1973-04-30,14.02855963
1973-05-01,13.70373558
1973-05-02,13.14141166
1973-05-03,14.58439135
1973-05-04,12.99860149
1973-05-05,13.94233027
1973-05-06,13.35883336
1973-05-07,13.14583676
1973-05-08,13.14194539
1973-05-09,13.78288481
1973-05-10,13.2471014
1973-05-11,12.91791795
1973-05-12,13.08170823
1973-05-13,12.56804083
1973-05-14,12.74694261
1973-05-15,12.35284367
1973-05-16,12.98090483
1973-05-17,12.90913353
1973-05-18,12.5920623
1973-05-19,12.53504785
1973-05-20,12.85674512
1973-05-21,12.26760949
1973-05-22,11.98661548
1973-05-23,12.52412042
1973-05-24,12.66745399
1973-05-25,12.25648214
1973-05-26,11.91079143
1973-05-27,11.78397433
1973-05-28,11.92127457
1973-05-29,12.158925
1973-05-30,11.81057468
1973-05-31,11.88975226
1973-06-01,11.69825461
1973-06-02,12.17167502
1973-06-03,11.82052751
1973-06-04,11.15347885
1973-06-05,11.23717709
1973-06-06,11.15107411
1973-06-07,11.08064513
1973-06-08,11.64138463
1973-06-09,11.64244469
1973-06-10,11.37726013
1973-06-11,12.70618117
1973-06-12,12.65099724
1973-06-13,12.6903084
1973-06-14,13.02786915
1973-06-15,12.80178234
1973-06-16,13.42265358
1973-06-17,12.80727665
1973-06-18,12.80567703
1973-06-19,11.92365881
1973-06-20,12.49031206
1973-06-21,12.71389921
1973-06-22,12.53482273
1973-06-23,13.43723176
1973-06-24,13.63800734
1973-06-25,12.95851121
1973-06-26,13.00209354
1973-06-27,12.19453438
1973-06-28,12.65658197
1973-06-29,12.26725363
1973-06-30,12.46538558
1973-07-01,11.52944628
1973-07-02,11.91740943
1973-07-03,11.38219886
1973-07-04,11.26626767
1973-07-05,11.76828749
1973-07-06,11.87538744
1973-07-07,12.58730685
1973-07-08,12.39629138
1973-07-09,12.80282887
1973-07-10,12.24385654
1973-07-11,12.67030902
1973-07-12,13.31219796
1973-07-13,13.31603826
1973-07-14,13.04627103
1973-07-15,12.75132567
1973-07-16,12.78686786
1973-07-17,13.44438984
1973-07-18,13.73178244
1973-07-19,13.10876341
1973-07-20,14.05092571
1973-07-21,13.78269338
1973-07-22,14.17450212
1973-07-23,14.56967641
1973-07-24,13.67098592
1973-07-25,13.98910617
1973-07-26,14.24029335
1973-07-27,13.93475205
1973-07-28,14.02469716
1973-07-29,14.41839801
1973-07-30,13.5356501
1973-07-31,13.66849178
1973-08-01,13.60088212
1973-08-02,13.93891958
1973-08-03,14.05218356
1973-08-04,13.52047837
1973-08-05,13.08264299
1973-08-06,13.50488575
